Truth,Time,Substream_ID,Value0,Value1,Value2,Value3,Critical
B,203,0,Male,44,207,brown,False
C,204,0,Male,40,158,blonde,False
A,205,0,Male,18,174,brown,False
B,206,0,Male,38,201,blonde,False
C,207,0,Male,41,155,brown,False
D,208,0,Male,67,167,blonde,True
B,209,0,Male,38,209,brown,False
A,210,0,Male,18,178,brown,False
B,211,0,Male,42,211,blonde,False
C,212,0,Male,35,162,brown,False
D,213,0,Male,66,177,brown,True
B,214,0,Male,32,213,brown,False
C,215,0,Male,39,158,brown,False
D,216,0,Male,74,180,blonde,True
B,217,0,Male,34,203,brown,False
A,218,0,Male,17,169,brown,False
B,219,0,Male,38,205,brown,False
A,220,0,Male,22,170,blonde,False
B,221,0,Male,39,210,blonde,False
C,222,0,Male,37,162,blonde,False
D,223,0,Male,80,171,brown,True
D,224,0,Male,65,179,brown,True
D,225,0,Male,65,171,brown,True
D,226,0,Male,68,174,blonde,True
B,227,0,Male,38,215,blonde,False
C,228,0,Male,42,162,blonde,False
A,229,0,Male,24,177,brown,False
B,230,0,Male,42,200,blonde,False
C,231,0,Male,36,155,blonde,False
D,232,0,Male,73,177,brown,True
B,233,0,Male,39,203,brown,False
C,234,0,Male,37,159,blonde,False
D,235,0,Male,67,166,blonde,True
D,236,0,Male,73,174,brown,True
D,237,0,Male,68,172,blonde,True
D,238,0,Male,67,178,brown,True
D,239,0,Male,74,169,blonde,True
B,240,0,Male,40,203,brown,False
C,241,0,Male,42,163,brown,False
D,242,0,Male,73,174,brown,True
B,243,0,Male,37,218,blonde,False
A,244,0,Male,18,168,blonde,False
B,245,0,Male,38,212,brown,False
A,246,0,Male,18,174,brown,False
B,247,0,Male,42,215,brown,False
C,248,0,Male,35,162,brown,False
D,249,0,Male,75,180,blonde,True
B,250,0,Male,39,209,blonde,False
C,251,0,Male,43,162,blonde,False
D,252,0,Male,71,165,brown,True
D,253,0,Male,80,177,blonde,True
B,254,0,Male,45,216,blonde,False
A,255,0,Male,17,177,blonde,False
B,256,0,Male,37,201,blonde,False
A,257,0,Male,25,165,brown,False
B,258,0,Male,45,220,brown,False
C,259,0,Male,43,158,blonde,False
D,260,0,Male,74,171,blonde,True
B,261,0,Male,38,214,brown,False
A,262,0,Male,22,170,brown,False
B,263,0,Male,38,220,brown,False
A,264,0,Male,18,179,blonde,False
B,265,0,Male,40,210,blonde,False
C,266,0,Male,35,157,brown,False
D,267,0,Male,76,177,brown,True
B,268,0,Male,44,215,brown,False
A,269,0,Male,19,171,brown,False
B,270,0,Male,35,218,blonde,False
A,271,0,Male,22,166,blonde,False
B,272,0,Male,42,202,blonde,False
C,273,0,Male,37,155,blonde,False
D,274,0,Male,72,174,blonde,True
B,275,0,Male,43,216,brown,False
C,276,0,Male,44,160,brown,False
D,277,0,Male,79,166,brown,True
B,278,0,Male,41,214,brown,False
A,279,0,Male,20,180,blonde,False
B,280,0,Male,37,208,blonde,False
C,281,0,Male,32,155,blonde,False
D,282,0,Male,76,165,brown,True
D,283,0,Male,65,169,blonde,True
D,284,0,Male,78,172,brown,True
D,285,0,Male,72,179,blonde,True
B,286,0,Male,37,219,blonde,False
C,287,0,Male,41,156,brown,False
D,288,0,Male,75,179,brown,True
D,289,0,Male,73,165,blonde,True
D,290,0,Male,71,176,blonde,True
B,291,0,Male,35,216,brown,False
C,292,0,Male,35,158,brown,False
D,293,0,Male,74,174,brown,True
B,294,0,Male,36,215,brown,False
A,295,0,Male,19,166,brown,False
B,296,0,Male,40,202,blonde,False
A,297,0,Male,23,180,brown,False
B,298,0,Male,32,213,brown,False
A,299,0,Male,23,179,blonde,False
B,300,0,Male,33,202,blonde,False
C,301,0,Male,33,157,brown,False
A,302,0,Male,19,179,blonde,False
B,303,0,Male,45,213,brown,False
C,304,0,Male,32,157,blonde,False
D,305,0,Male,80,172,blonde,True
B,306,0,Male,45,208,brown,False
C,307,0,Male,37,161,blonde,False
D,308,0,Male,74,171,brown,True
B,309,0,Male,44,214,brown,False
A,310,0,Male,24,173,brown,False
B,311,0,Male,35,200,blonde,False
A,312,0,Male,25,168,blonde,False
B,313,0,Male,43,213,blonde,False
A,314,0,Male,19,174,blonde,False
C,315,0,Male,43,163,brown,False
D,316,0,Male,66,168,brown,True
B,317,0,Male,42,208,blonde,False
A,318,0,Male,25,176,blonde,False
C,319,0,Male,42,163,brown,False
D,320,0,Male,72,172,blonde,True
D,321,0,Male,74,175,blonde,True
B,322,0,Male,37,220,brown,False
C,323,0,Male,36,164,blonde,False
D,324,0,Male,69,165,brown,True
B,325,0,Male,37,218,blonde,False
A,326,0,Male,18,177,blonde,False
C,327,0,Male,34,163,blonde,False
A,328,0,Male,18,171,brown,False
C,329,0,Male,41,158,blonde,False
D,330,0,Male,69,172,brown,True
D,331,0,Male,76,169,brown,True
B,332,0,Male,33,219,blonde,False
C,333,0,Male,40,164,brown,False
D,334,0,Male,80,179,brown,True
B,335,0,Male,32,207,blonde,False
A,336,0,Male,23,180,brown,False
C,337,0,Male,43,156,brown,False
D,338,0,Male,69,177,blonde,True
B,339,0,Male,45,210,brown,False
A,340,0,Male,22,166,blonde,False
B,341,0,Male,32,210,blonde,False
A,342,0,Male,21,179,blonde,False
B,343,0,Male,36,211,blonde,False
A,344,0,Male,20,165,brown,False
C,345,0,Male,41,163,blonde,False
A,346,0,Male,18,176,blonde,False
B,347,0,Male,39,220,blonde,False
C,348,0,Male,32,158,blonde,False
A,349,0,Male,16,172,brown,False
B,350,0,Male,33,201,brown,False
C,351,0,Male,42,161,blonde,False
A,352,0,Male,19,179,brown,False
C,353,0,Male,34,160,brown,False
A,354,0,Male,18,175,brown,False
B,355,0,Male,38,200,brown,False
A,356,0,Male,20,179,blonde,False
B,357,0,Male,41,203,brown,False
C,358,0,Male,38,157,blonde,False
D,359,0,Male,69,169,blonde,True
D,360,0,Male,75,172,blonde,True
D,361,0,Male,72,165,blonde,True
D,362,0,Male,70,167,brown,True
D,363,0,Male,68,179,blonde,True
D,364,0,Male,66,173,brown,True
B,365,0,Male,44,212,blonde,False
C,366,0,Male,42,155,brown,False
D,367,0,Male,67,176,brown,True
B,368,0,Male,42,204,brown,False
A,369,0,Male,19,176,blonde,False
C,370,0,Male,43,161,brown,False
D,371,0,Male,73,180,brown,True
B,372,0,Male,32,209,brown,False
C,373,0,Male,40,162,blonde,False
D,374,0,Male,73,166,brown,True
B,375,0,Male,38,203,brown,False
A,376,0,Male,21,180,blonde,False
B,377,0,Male,32,208,blonde,False
A,378,0,Male,20,174,blonde,False
C,379,0,Male,44,163,brown,False
D,380,0,Male,77,173,blonde,True
B,381,0,Male,33,218,brown,False
C,382,0,Male,44,158,brown,False
D,383,0,Male,70,169,brown,True
B,384,0,Male,45,200,blonde,False
A,385,0,Male,25,169,brown,False
B,386,0,Male,37,209,brown,False
C,387,0,Male,37,162,brown,False
D,388,0,Male,78,170,blonde,True
B,389,0,Male,44,204,blonde,False
A,390,0,Male,23,169,brown,False
B,391,0,Male,32,215,brown,False
A,392,0,Male,25,171,blonde,False
C,393,0,Male,40,161,brown,False
A,394,0,Male,18,170,blonde,False
C,395,0,Male,42,157,blonde,False
D,396,0,Male,77,178,brown,True
B,397,0,Male,36,209,blonde,False
A,398,0,Male,22,173,brown,False
B,399,0,Male,40,216,brown,False
A,400,0,Male,21,171,brown,False
B,401,0,Male,44,204,blonde,False
C,402,0,Male,44,163,blonde,False
D,403,0,Male,77,176,brown,True
B,404,0,Male,32,217,brown,False
A,405,0,Male,25,172,blonde,False
B,406,0,Male,37,216,blonde,False
A,407,0,Male,19,176,brown,False
B,408,0,Male,32,207,blonde,False
A,409,0,Male,20,170,brown,False
B,410,0,Male,33,218,brown,False
C,411,0,Male,35,162,blonde,False
A,412,0,Male,19,170,brown,False
B,413,0,Male,33,213,brown,False
A,414,0,Male,20,173,brown,False
C,415,0,Male,44,160,brown,False
D,416,0,Male,67,174,blonde,True
B,417,0,Male,39,200,brown,False
A,418,0,Male,19,177,brown,False
C,419,0,Male,38,161,blonde,False
D,420,0,Male,79,176,blonde,True
B,421,0,Male,41,208,brown,False
A,422,0,Male,16,177,brown,False
B,423,0,Male,40,204,blonde,False
A,424,0,Male,17,176,brown,False
B,425,0,Male,32,202,blonde,False
A,426,0,Male,17,180,blonde,False
B,427,0,Male,37,200,brown,False
A,428,0,Male,22,169,brown,False
B,429,0,Male,38,204,blonde,False
C,430,0,Male,38,159,blonde,False
D,431,0,Male,70,169,blonde,True
B,432,0,Male,39,220,blonde,False
A,433,0,Male,24,166,brown,False
B,434,0,Male,34,211,blonde,False
A,435,0,Male,17,170,brown,False
C,436,0,Male,35,159,brown,False
D,437,0,Male,73,173,brown,True
B,438,0,Male,34,214,blonde,False
C,439,0,Male,32,164,blonde,False
D,440,0,Male,66,175,blonde,True
B,441,0,Male,35,220,brown,False
A,442,0,Male,25,172,brown,False
B,443,0,Male,40,205,brown,False
A,444,0,Male,18,180,blonde,False
B,445,0,Male,40,202,brown,False
A,446,0,Male,16,167,blonde,False
B,447,0,Male,38,219,brown,False
A,448,0,Male,25,179,brown,False
B,449,0,Male,45,212,brown,False
A,450,0,Male,17,169,brown,False
B,451,0,Male,32,205,blonde,False
C,452,0,Male,32,160,blonde,False
D,453,0,Male,66,178,blonde,True
B,454,0,Male,43,209,brown,False
C,455,0,Male,32,164,blonde,False
A,456,0,Male,21,167,brown,False
C,457,0,Male,32,162,brown,False
D,458,0,Male,73,174,brown,True
B,459,0,Male,38,205,blonde,False
C,460,0,Male,39,159,blonde,False
D,461,0,Male,77,167,brown,True
D,462,0,Male,68,168,blonde,True
D,463,0,Male,76,165,blonde,True
B,464,0,Male,38,219,blonde,False
C,465,0,Male,37,162,brown,False
A,466,0,Male,23,167,blonde,False
C,467,0,Male,40,161,brown,False
D,468,0,Male,65,168,blonde,True
B,469,0,Male,37,211,blonde,False
A,470,0,Male,23,166,blonde,False
B,471,0,Male,40,220,brown,False
A,472,0,Male,16,165,brown,False
B,473,0,Male,37,205,blonde,False
C,474,0,Male,34,157,blonde,False
D,475,0,Male,72,175,blonde,True
D,476,0,Male,80,177,blonde,True
B,477,0,Male,35,207,brown,False
C,478,0,Male,37,157,blonde,False
D,479,0,Male,76,172,blonde,True
D,480,0,Male,78,179,brown,True
B,481,0,Male,41,204,brown,False
A,482,0,Male,25,165,blonde,False
B,483,0,Male,41,200,brown,False
A,484,0,Male,18,169,blonde,False
B,485,0,Male,32,210,blonde,False
C,486,0,Male,32,155,blonde,False
D,487,0,Male,69,169,brown,True
B,488,0,Male,44,200,brown,False
C,489,0,Male,38,164,brown,False
D,490,0,Male,72,169,brown,True
D,491,0,Male,71,177,blonde,True
B,492,0,Male,34,213,brown,False
A,493,0,Male,17,178,brown,False
B,494,0,Male,35,215,brown,False
A,495,0,Male,19,177,blonde,False
B,496,0,Male,42,215,brown,False
A,497,0,Male,25,167,brown,False
C,498,0,Male,36,163,brown,False
D,499,0,Male,65,180,blonde,True
B,500,0,Male,36,201,brown,False
C,501,0,Male,45,161,blonde,False
D,502,0,Male,66,169,brown,True
D,503,0,Male,65,178,brown,True
B,504,0,Male,38,203,brown,False
A,505,0,Male,25,179,blonde,False
C,506,0,Male,34,160,brown,False
D,507,0,Male,78,170,brown,True
B,508,0,Male,44,216,blonde,False
C,509,0,Male,37,160,blonde,False
D,510,0,Male,76,180,blonde,True
B,511,0,Male,35,208,blonde,False
A,512,0,Male,25,175,brown,False
B,513,0,Male,38,220,blonde,False
C,514,0,Male,36,163,brown,False
D,515,0,Male,66,178,brown,True
B,516,0,Male,38,206,brown,False
A,517,0,Male,18,169,blonde,False
B,518,0,Male,41,211,blonde,False
C,519,0,Male,32,161,brown,False
D,520,0,Male,79,167,blonde,True
B,521,0,Male,44,213,blonde,False
A,522,0,Male,18,169,blonde,False
B,523,0,Male,34,207,blonde,False
A,524,0,Male,24,169,brown,False
B,525,0,Male,37,219,brown,False
C,526,0,Male,43,160,blonde,False
D,527,0,Male,78,173,blonde,True
B,528,0,Male,37,220,brown,False
A,529,0,Male,24,169,brown,False
B,530,0,Male,43,217,brown,False
A,531,0,Male,19,177,brown,False
C,532,0,Male,38,162,brown,False
A,533,0,Male,22,178,blonde,False
B,534,0,Male,42,204,blonde,False
C,535,0,Male,32,164,blonde,False
D,536,0,Male,71,168,brown,True
B,537,0,Male,43,219,blonde,False
C,538,0,Male,38,156,blonde,False
D,539,0,Male,65,168,brown,True
B,540,0,Male,45,215,brown,False
A,541,0,Male,17,179,brown,False
B,542,0,Male,41,208,brown,False
A,543,0,Male,19,170,blonde,False
B,544,0,Male,44,216,blonde,False
A,545,0,Male,16,170,brown,False
C,546,0,Male,41,158,brown,False
D,547,0,Male,77,173,blonde,True
D,548,0,Male,69,177,blonde,True
D,549,0,Male,79,166,brown,True
B,550,0,Male,44,202,brown,False
A,551,0,Male,21,172,brown,False
B,552,0,Male,32,215,blonde,False
A,553,0,Male,20,180,brown,False
C,554,0,Male,39,159,blonde,False
D,555,0,Male,72,176,blonde,True
B,556,0,Male,36,219,blonde,False
C,557,0,Male,39,156,blonde,False
D,558,0,Male,80,177,brown,True
B,559,0,Male,40,202,brown,False
A,560,0,Male,23,172,blonde,False
B,561,0,Male,36,204,brown,False
C,562,0,Male,44,156,blonde,False
D,563,0,Male,66,169,blonde,True
B,564,0,Male,32,201,brown,False
A,565,0,Male,24,180,blonde,False
C,566,0,Male,39,163,brown,False
D,567,0,Male,75,168,blonde,True
B,568,0,Male,35,207,brown,False
A,569,0,Male,20,173,blonde,False
B,570,0,Male,32,215,brown,False
C,571,0,Male,40,160,blonde,False
D,572,0,Male,67,174,brown,True
B,573,0,Male,35,211,brown,False
A,574,0,Male,18,172,brown,False
B,575,0,Male,35,215,brown,False
A,576,0,Male,20,177,blonde,False
B,577,0,Male,45,203,brown,False
A,578,0,Male,21,180,blonde,False
B,579,0,Male,42,211,brown,False
A,580,0,Male,22,173,brown,False
C,581,0,Male,38,159,blonde,False
D,582,0,Male,80,174,blonde,True
B,583,0,Male,39,204,brown,False
A,584,0,Male,19,170,brown,False
B,585,0,Male,39,207,blonde,False
C,586,0,Male,42,161,brown,False
D,587,0,Male,79,179,blonde,True
B,588,0,Male,42,212,brown,False
C,589,0,Male,39,158,brown,False
D,590,0,Male,65,167,brown,True
D,591,0,Male,75,177,blonde,True
B,592,0,Male,45,213,blonde,False
C,593,0,Male,41,155,brown,False
D,594,0,Male,67,173,blonde,True
D,595,0,Male,75,170,blonde,True
D,596,0,Male,70,176,blonde,True
B,597,0,Male,35,201,blonde,False
A,598,0,Male,22,165,blonde,False
B,599,0,Male,33,219,blonde,False
C,600,0,Male,33,162,blonde,False
D,601,0,Male,65,178,blonde,True
D,602,0,Male,70,172,blonde,True
B,603,0,Male,38,212,brown,False
A,604,0,Male,16,178,blonde,False
B,605,0,Male,38,201,brown,False
A,606,0,Male,16,176,brown,False
C,607,0,Male,45,160,brown,False
D,608,0,Male,69,167,brown,True
B,609,0,Male,33,203,brown,False
A,610,0,Male,16,169,blonde,False
B,611,0,Male,38,206,brown,False
C,612,0,Male,35,161,blonde,False
D,613,0,Male,68,180,blonde,True
D,614,0,Male,79,180,blonde,True
B,615,0,Male,39,217,brown,False
C,616,0,Male,34,161,brown,False
D,617,0,Male,77,167,brown,True
B,618,0,Male,45,207,brown,False
A,619,0,Male,19,176,brown,False
C,620,0,Male,44,161,blonde,False
D,621,0,Male,79,165,brown,True
B,622,0,Male,44,214,blonde,False
A,623,0,Male,22,172,brown,False
B,624,0,Male,39,215,blonde,False
C,625,0,Male,35,162,brown,False
D,626,0,Male,76,180,blonde,True
D,627,0,Male,67,171,brown,True
B,628,0,Male,40,220,blonde,False
A,629,0,Male,16,169,brown,False
B,630,0,Male,32,210,blonde,False
A,631,0,Male,23,177,blonde,False
B,632,0,Male,38,215,blonde,False
A,633,0,Male,18,177,blonde,False
B,634,0,Male,44,210,blonde,False
A,635,0,Male,21,170,brown,False
C,636,0,Male,34,164,brown,False
D,637,0,Male,71,179,blonde,True
D,638,0,Male,72,180,brown,True
B,639,0,Male,40,206,blonde,False
A,640,0,Male,16,166,blonde,False
B,641,0,Male,35,214,blonde,False
C,642,0,Male,42,156,brown,False
D,643,0,Male,74,175,brown,True
B,644,0,Male,42,206,blonde,False
C,645,0,Male,37,163,brown,False
D,646,0,Male,79,177,brown,True
B,647,0,Male,42,210,brown,False
A,648,0,Male,17,169,blonde,False
C,649,0,Male,44,156,blonde,False
D,650,0,Male,77,179,blonde,True
B,651,0,Male,37,201,blonde,False
A,652,0,Male,22,171,blonde,False
B,653,0,Male,45,213,brown,False
C,654,0,Male,40,158,blonde,False
D,655,0,Male,69,180,brown,True
B,656,0,Male,38,217,blonde,False
C,657,0,Male,33,164,brown,False
D,658,0,Male,65,171,brown,True
D,659,0,Male,76,174,blonde,True
D,660,0,Male,65,172,blonde,True
B,661,0,Male,41,216,brown,False
C,662,0,Male,34,162,brown,False
D,663,0,Male,68,179,brown,True
B,664,0,Male,45,207,brown,False
A,665,0,Male,22,175,blonde,False
B,666,0,Male,45,218,brown,False
A,667,0,Male,17,166,blonde,False
B,668,0,Male,37,220,brown,False
A,669,0,Male,17,180,brown,False
B,670,0,Male,37,212,blonde,False
A,671,0,Male,17,178,blonde,False
B,672,0,Male,44,204,blonde,False
A,673,0,Male,17,178,blonde,False
B,674,0,Male,32,220,brown,False
A,675,0,Male,20,177,blonde,False
B,676,0,Male,37,209,brown,False
A,677,0,Male,25,171,blonde,False
C,678,0,Male,37,163,blonde,False
D,679,0,Male,70,180,blonde,True
B,680,0,Male,42,208,brown,False
A,681,0,Male,18,176,blonde,False
B,682,0,Male,41,217,brown,False
A,683,0,Male,17,173,blonde,False
B,684,0,Male,40,202,blonde,False
A,685,0,Male,23,166,blonde,False
B,686,0,Male,37,203,blonde,False
C,687,0,Male,34,158,brown,False
D,688,0,Male,71,179,brown,True
B,689,0,Male,34,208,brown,False
C,690,0,Male,40,158,blonde,False
A,691,0,Male,23,175,blonde,False
B,692,0,Male,36,217,blonde,False
A,693,0,Male,17,175,brown,False
B,694,0,Male,45,210,blonde,False
C,695,0,Male,33,164,blonde,False
D,696,0,Male,74,168,blonde,True
D,697,0,Male,73,171,brown,True
B,698,0,Male,45,214,blonde,False
A,699,0,Male,22,178,blonde,False
B,700,0,Male,33,218,brown,False
C,701,0,Male,37,157,brown,False
D,702,0,Male,72,178,brown,True
D,703,0,Male,66,165,blonde,True
B,704,0,Male,42,208,blonde,False
A,705,0,Male,21,175,brown,False
B,706,0,Male,32,207,blonde,False
C,707,0,Male,36,164,blonde,False
A,708,0,Male,22,178,brown,False
C,709,0,Male,41,158,brown,False
D,710,0,Male,75,180,brown,True
B,711,0,Male,43,203,brown,False
C,712,0,Male,37,157,blonde,False
D,713,0,Male,72,180,brown,True
D,714,0,Male,65,172,blonde,True
D,715,0,Male,74,168,blonde,True
B,716,0,Male,34,214,blonde,False
C,717,0,Male,44,160,brown,False
D,718,0,Male,68,172,brown,True
D,719,0,Male,74,173,brown,True
D,720,0,Male,78,180,blonde,True
B,721,0,Male,34,216,brown,False
A,722,0,Male,19,172,blonde,False
C,723,0,Male,35,159,blonde,False
D,724,0,Male,70,173,blonde,True
D,725,0,Male,70,172,brown,True
B,726,0,Male,43,205,blonde,False
A,727,0,Male,24,169,blonde,False
B,728,0,Male,43,207,brown,False
A,729,0,Male,16,179,blonde,False
B,730,0,Male,32,213,blonde,False
A,731,0,Male,22,177,blonde,False
B,732,0,Male,38,217,brown,False
A,733,0,Male,17,169,blonde,False
C,734,0,Male,40,155,blonde,False
D,735,0,Male,65,172,brown,True
B,736,0,Male,39,208,brown,False
A,737,0,Male,21,177,brown,False
B,738,0,Male,43,202,blonde,False
C,739,0,Male,41,158,blonde,False
D,740,0,Male,66,166,blonde,True
B,741,0,Male,43,214,blonde,False
A,742,0,Male,23,169,brown,False
B,743,0,Male,32,219,blonde,False
A,744,0,Male,21,176,brown,False
B,745,0,Male,45,209,brown,False
A,746,0,Male,18,165,brown,False
B,747,0,Male,44,206,brown,False
C,748,0,Male,37,162,brown,False
D,749,0,Male,79,169,brown,True
B,750,0,Male,45,209,brown,False
A,751,0,Male,21,177,brown,False
B,752,0,Male,41,212,brown,False
