Truth,Time,Substream_ID,Value0,Critical
A,394,0,A,False
A,395,0,A,False
A,396,0,A,False
A,397,0,A,False
B,398,0,B,True
C,399,0,C,False
B,400,0,B,True
C,401,0,C,False
B,402,0,B,True
C,403,0,C,False
B,404,0,B,True
C,405,0,C,False
B,406,0,B,True
C,407,0,C,False
A,408,0,A,False
A,409,0,A,False
B,410,0,B,True
A,411,0,A,False
A,412,0,A,False
B,413,0,B,True
C,414,0,C,False
A,415,0,A,False
A,416,0,A,False
B,417,0,B,True
C,418,0,C,False
A,419,0,A,False
B,420,0,B,True
C,421,0,C,False
B,422,0,B,True
C,423,0,C,False
B,424,0,B,True
C,425,0,C,False
B,426,0,B,True
C,427,0,C,False
B,428,0,B,True
C,429,0,C,False
B,430,0,B,True
C,431,0,C,False
B,432,0,B,True
C,433,0,C,False
A,434,0,A,False
A,435,0,A,False
A,436,0,A,False
A,437,0,A,False
A,438,0,A,False
A,439,0,A,False
B,440,0,B,True
C,441,0,C,False
B,442,0,B,True
C,443,0,C,False
B,444,0,B,True
C,445,0,C,False
B,446,0,B,True
C,447,0,C,False
B,448,0,B,True
C,449,0,C,False
B,450,0,B,True
C,451,0,C,False
A,452,0,A,False
B,453,0,B,True
C,454,0,C,False
A,455,0,A,False
A,456,0,A,False
A,457,0,A,False
B,458,0,B,True
C,459,0,C,False
B,460,0,B,True
C,461,0,C,False
B,462,0,B,True
C,463,0,C,False
A,464,0,A,False
A,465,0,A,False
A,466,0,A,False
A,467,0,A,False
B,468,0,B,True
C,469,0,C,False
B,470,0,B,True
C,471,0,C,False
B,472,0,B,True
C,473,0,C,False
B,474,0,B,True
C,475,0,C,False
B,476,0,B,True
C,477,0,C,False
B,478,0,B,True
C,479,0,C,False
B,480,0,B,True
C,481,0,C,False
B,482,0,B,True
C,483,0,C,False
B,484,0,B,True
C,485,0,C,False
A,486,0,A,False
B,487,0,B,True
C,488,0,C,False
A,489,0,A,False
B,490,0,B,True
C,491,0,C,False
B,492,0,B,True
C,493,0,C,False
B,494,0,B,True
C,495,0,C,False
B,496,0,B,True
C,497,0,C,False
A,498,0,A,False
B,499,0,B,True
C,500,0,C,False
A,501,0,A,False
B,502,0,B,True
C,503,0,C,False
A,504,0,A,False
B,505,0,B,True
C,506,0,C,False
B,507,0,B,True
C,508,0,C,False
A,509,0,A,False
B,510,0,B,True
C,511,0,C,False
B,512,0,B,True
C,513,0,C,False
A,514,0,A,False
A,515,0,A,False
A,516,0,A,False
B,517,0,B,True
C,518,0,C,False
A,519,0,A,False
B,520,0,B,True
C,521,0,C,False
B,522,0,B,True
C,523,0,C,False
B,524,0,B,True
C,525,0,C,False
A,526,0,A,False
A,527,0,A,False
A,528,0,A,False
B,529,0,B,True
C,530,0,C,False
B,531,0,B,True
A,532,0,A,False
A,533,0,A,False
B,534,0,B,True
C,535,0,C,False
B,536,0,B,True
C,537,0,C,False
A,538,0,A,False
B,539,0,B,True
C,540,0,C,False
B,541,0,B,True
C,542,0,C,False
B,543,0,B,True
C,544,0,C,False
B,545,0,B,True
C,546,0,C,False
B,547,0,B,True
C,548,0,C,False
B,549,0,B,True
C,550,0,C,False
B,551,0,B,True
C,552,0,C,False
B,553,0,B,True
A,554,0,A,False
A,555,0,A,False
A,556,0,A,False
A,557,0,A,False
A,558,0,A,False
A,559,0,A,False
B,560,0,B,True
C,561,0,C,False
A,562,0,A,False
B,563,0,B,True
C,564,0,C,False
B,565,0,B,True
C,566,0,C,False
B,567,0,B,True
C,568,0,C,False
B,569,0,B,True
C,570,0,C,False
B,571,0,B,True
C,572,0,C,False
B,573,0,B,True
C,574,0,C,False
B,575,0,B,True
C,576,0,C,False
A,577,0,A,False
B,578,0,B,True
C,579,0,C,False
B,580,0,B,True
C,581,0,C,False
B,582,0,B,True
A,583,0,A,False
A,584,0,A,False
B,585,0,B,True
C,586,0,C,False
B,587,0,B,True
C,588,0,C,False
A,589,0,A,False
A,590,0,A,False
B,591,0,B,True
C,592,0,C,False
B,593,0,B,True
C,594,0,C,False
B,595,0,B,True
C,596,0,C,False
B,597,0,B,True
C,598,0,C,False
A,599,0,A,False
A,600,0,A,False
B,601,0,B,True
C,602,0,C,False
B,603,0,B,True
C,604,0,C,False
B,605,0,B,True
C,606,0,C,False
A,607,0,A,False
B,608,0,B,True
C,609,0,C,False
B,610,0,B,True
C,611,0,C,False
A,612,0,A,False
A,613,0,A,False
B,614,0,B,True
C,615,0,C,False
A,616,0,A,False
A,617,0,A,False
A,618,0,A,False
A,619,0,A,False
A,620,0,A,False
A,621,0,A,False
A,622,0,A,False
B,623,0,B,True
C,624,0,C,False
B,625,0,B,True
C,626,0,C,False
B,627,0,B,True
C,628,0,C,False
B,629,0,B,True
C,630,0,C,False
B,631,0,B,True
C,632,0,C,False
B,633,0,B,True
C,634,0,C,False
B,635,0,B,True
A,636,0,A,False
B,637,0,B,True
C,638,0,C,False
B,639,0,B,True
C,640,0,C,False
B,641,0,B,True
C,642,0,C,False
B,643,0,B,True
C,644,0,C,False
B,645,0,B,True
C,646,0,C,False
B,647,0,B,True
C,648,0,C,False
A,649,0,A,False
A,650,0,A,False
A,651,0,A,False
B,652,0,B,True
C,653,0,C,False
A,654,0,A,False
B,655,0,B,True
A,656,0,A,False
A,657,0,A,False
B,658,0,B,True
C,659,0,C,False
B,660,0,B,True
A,661,0,A,False
A,662,0,A,False
B,663,0,B,True
A,664,0,A,False
B,665,0,B,True
C,666,0,C,False
B,667,0,B,True
C,668,0,C,False
B,669,0,B,True
C,670,0,C,False
B,671,0,B,True
C,672,0,C,False
B,673,0,B,True
C,674,0,C,False
B,675,0,B,True
C,676,0,C,False
B,677,0,B,True
A,678,0,A,False
A,679,0,A,False
B,680,0,B,True
C,681,0,C,False
B,682,0,B,True
C,683,0,C,False
A,684,0,A,False
B,685,0,B,True
C,686,0,C,False
A,687,0,A,False
B,688,0,B,True
C,689,0,C,False
A,690,0,A,False
A,691,0,A,False
A,692,0,A,False
B,693,0,B,True
C,694,0,C,False
B,695,0,B,True
C,696,0,C,False
B,697,0,B,True
C,698,0,C,False
B,699,0,B,True
C,700,0,C,False
B,701,0,B,True
C,702,0,C,False
B,703,0,B,True
A,704,0,A,False
B,705,0,B,True
C,706,0,C,False
A,707,0,A,False
A,708,0,A,False
A,709,0,A,False
B,710,0,B,True
C,711,0,C,False
B,712,0,B,True
C,713,0,C,False
B,714,0,B,True
C,715,0,C,False
A,716,0,A,False
A,717,0,A,False
B,718,0,B,True
C,719,0,C,False
B,720,0,B,True
C,721,0,C,False
B,722,0,B,True
C,723,0,C,False
B,724,0,B,True
C,725,0,C,False
B,726,0,B,True
C,727,0,C,False
B,728,0,B,True
C,729,0,C,False
B,730,0,B,True
C,731,0,C,False
B,732,0,B,True
C,733,0,C,False
A,734,0,A,False
B,735,0,B,True
C,736,0,C,False
B,737,0,B,True
C,738,0,C,False
A,739,0,A,False
B,740,0,B,True
C,741,0,C,False
B,742,0,B,True
C,743,0,C,False
B,744,0,B,True
C,745,0,C,False
B,746,0,B,True
C,747,0,C,False
A,748,0,A,False
A,749,0,A,False
A,750,0,A,False
B,751,0,B,True
C,752,0,C,False
B,753,0,B,True
C,754,0,C,False
B,755,0,B,True
C,756,0,C,False
B,757,0,B,True
C,758,0,C,False
B,759,0,B,True
C,760,0,C,False
B,761,0,B,True
C,762,0,C,False
B,763,0,B,True
C,764,0,C,False
B,765,0,B,True
C,766,0,C,False
A,767,0,A,False
B,768,0,B,True
C,769,0,C,False
B,770,0,B,True
C,771,0,C,False
A,772,0,A,False
A,773,0,A,False
B,774,0,B,True
C,775,0,C,False
B,776,0,B,True
C,777,0,C,False
B,778,0,B,True
C,779,0,C,False
B,780,0,B,True
C,781,0,C,False
B,782,0,B,True
C,783,0,C,False
A,784,0,A,False
A,785,0,A,False
B,786,0,B,True
C,787,0,C,False
A,788,0,A,False
B,789,0,B,True
C,790,0,C,False
B,791,0,B,True
C,792,0,C,False
B,793,0,B,True
A,794,0,A,False
A,795,0,A,False
B,796,0,B,True
C,797,0,C,False
B,798,0,B,True
C,799,0,C,False
A,800,0,A,False
A,801,0,A,False
B,802,0,B,True
C,803,0,C,False
A,804,0,A,False
B,805,0,B,True
C,806,0,C,False
B,807,0,B,True
C,808,0,C,False
A,809,0,A,False
A,810,0,A,False
A,811,0,A,False
B,812,0,B,True
C,813,0,C,False
B,814,0,B,True
C,815,0,C,False
B,816,0,B,True
A,817,0,A,False
A,818,0,A,False
A,819,0,A,False
B,820,0,B,True
C,821,0,C,False
B,822,0,B,True
C,823,0,C,False
A,824,0,A,False
A,825,0,A,False
A,826,0,A,False
B,827,0,B,True
C,828,0,C,False
A,829,0,A,False
B,830,0,B,True
C,831,0,C,False
B,832,0,B,True
C,833,0,C,False
B,834,0,B,True
C,835,0,C,False
B,836,0,B,True
C,837,0,C,False
B,838,0,B,True
C,839,0,C,False
B,840,0,B,True
C,841,0,C,False
A,842,0,A,False
A,843,0,A,False
B,844,0,B,True
C,845,0,C,False
A,846,0,A,False
A,847,0,A,False
B,848,0,B,True
C,849,0,C,False
B,850,0,B,True
C,851,0,C,False
A,852,0,A,False
B,853,0,B,True
C,854,0,C,False
B,855,0,B,True
C,856,0,C,False
B,857,0,B,True
C,858,0,C,False
B,859,0,B,True
C,860,0,C,False
B,861,0,B,True
C,862,0,C,False
A,863,0,A,False
A,864,0,A,False
A,865,0,A,False
A,866,0,A,False
A,867,0,A,False
A,868,0,A,False
B,869,0,B,True
A,870,0,A,False
B,871,0,B,True
C,872,0,C,False
B,873,0,B,True
A,874,0,A,False
A,875,0,A,False
A,876,0,A,False
A,877,0,A,False
A,878,0,A,False
B,879,0,B,True
C,880,0,C,False
B,881,0,B,True
C,882,0,C,False
B,883,0,B,True
C,884,0,C,False
B,885,0,B,True
C,886,0,C,False
B,887,0,B,True
C,888,0,C,False
B,889,0,B,True
C,890,0,C,False
B,891,0,B,True
A,892,0,A,False
A,893,0,A,False
A,894,0,A,False
A,895,0,A,False
B,896,0,B,True
C,897,0,C,False
B,898,0,B,True
C,899,0,C,False
A,900,0,A,False
A,901,0,A,False
A,902,0,A,False
A,903,0,A,False
A,904,0,A,False
B,905,0,B,True
C,906,0,C,False
B,907,0,B,True
C,908,0,C,False
A,909,0,A,False
B,910,0,B,True
C,911,0,C,False
B,912,0,B,True
C,913,0,C,False
B,914,0,B,True
C,915,0,C,False
B,916,0,B,True
C,917,0,C,False
B,918,0,B,True
C,919,0,C,False
A,920,0,A,False
B,921,0,B,True
C,922,0,C,False
B,923,0,B,True
C,924,0,C,False
B,925,0,B,True
C,926,0,C,False
B,927,0,B,True
C,928,0,C,False
B,929,0,B,True
C,930,0,C,False
A,931,0,A,False
A,932,0,A,False
A,933,0,A,False
B,934,0,B,True
C,935,0,C,False
B,936,0,B,True
C,937,0,C,False
B,938,0,B,True
C,939,0,C,False
A,940,0,A,False
A,941,0,A,False
A,942,0,A,False
A,943,0,A,False
B,944,0,B,True
C,945,0,C,False
B,946,0,B,True
C,947,0,C,False
B,948,0,B,True
C,949,0,C,False
B,950,0,B,True
C,951,0,C,False
B,952,0,B,True
C,953,0,C,False
B,954,0,B,True
C,955,0,C,False
B,956,0,B,True
C,957,0,C,False
B,958,0,B,True
C,959,0,C,False
A,960,0,A,False
B,961,0,B,True
A,962,0,A,False
B,963,0,B,True
C,964,0,C,False
B,965,0,B,True
C,966,0,C,False
B,967,0,B,True
C,968,0,C,False
B,969,0,B,True
A,970,0,A,False
B,971,0,B,True
C,972,0,C,False
A,973,0,A,False
A,974,0,A,False
B,975,0,B,True
C,976,0,C,False
B,977,0,B,True
C,978,0,C,False
B,979,0,B,True
C,980,0,C,False
B,981,0,B,True
C,982,0,C,False
B,983,0,B,True
C,984,0,C,False
B,985,0,B,True
A,986,0,A,False
A,987,0,A,False
B,988,0,B,True
C,989,0,C,False
A,990,0,A,False
B,991,0,B,True
C,992,0,C,False
B,993,0,B,True
C,994,0,C,False
B,995,0,B,True
C,996,0,C,False
B,997,0,B,True
C,998,0,C,False
B,999,0,B,True
C,1000,0,C,False
B,1001,0,B,True
C,1002,0,C,False
B,1003,0,B,True
C,1004,0,C,False
B,1005,0,B,True
C,1006,0,C,False
A,1007,0,A,False
A,1008,0,A,False
B,1009,0,B,True
C,1010,0,C,False
A,1011,0,A,False
B,1012,0,B,True
C,1013,0,C,False
A,1014,0,A,False
A,1015,0,A,False
B,1016,0,B,True
C,1017,0,C,False
B,1018,0,B,True
C,1019,0,C,False
B,1020,0,B,True
A,1021,0,A,False
B,1022,0,B,True
C,1023,0,C,False
A,1024,0,A,False
A,1025,0,A,False
A,1026,0,A,False
A,1027,0,A,False
A,1028,0,A,False
B,1029,0,B,True
C,1030,0,C,False
B,1031,0,B,True
C,1032,0,C,False
B,1033,0,B,True
C,1034,0,C,False
B,1035,0,B,True
C,1036,0,C,False
A,1037,0,A,False
A,1038,0,A,False
A,1039,0,A,False
B,1040,0,B,True
C,1041,0,C,False
B,1042,0,B,True
C,1043,0,C,False
A,1044,0,A,False
A,1045,0,A,False
A,1046,0,A,False
B,1047,0,B,True
C,1048,0,C,False
A,1049,0,A,False
B,1050,0,B,True
C,1051,0,C,False
B,1052,0,B,True
C,1053,0,C,False
B,1054,0,B,True
C,1055,0,C,False
A,1056,0,A,False
A,1057,0,A,False
B,1058,0,B,True
C,1059,0,C,False
B,1060,0,B,True
C,1061,0,C,False
B,1062,0,B,True
C,1063,0,C,False
B,1064,0,B,True
C,1065,0,C,False
B,1066,0,B,True
C,1067,0,C,False
A,1068,0,A,False
A,1069,0,A,False
A,1070,0,A,False
B,1071,0,B,True
C,1072,0,C,False
B,1073,0,B,True
C,1074,0,C,False
B,1075,0,B,True
C,1076,0,C,False
B,1077,0,B,True
A,1078,0,A,False
A,1079,0,A,False
A,1080,0,A,False
B,1081,0,B,True
C,1082,0,C,False
B,1083,0,B,True
C,1084,0,C,False
B,1085,0,B,True
C,1086,0,C,False
B,1087,0,B,True
C,1088,0,C,False
A,1089,0,A,False
B,1090,0,B,True
A,1091,0,A,False
A,1092,0,A,False
B,1093,0,B,True
C,1094,0,C,False
B,1095,0,B,True
C,1096,0,C,False
B,1097,0,B,True
C,1098,0,C,False
B,1099,0,B,True
C,1100,0,C,False
B,1101,0,B,True
C,1102,0,C,False
B,1103,0,B,True
C,1104,0,C,False
B,1105,0,B,True
A,1106,0,A,False
B,1107,0,B,True
A,1108,0,A,False
A,1109,0,A,False
B,1110,0,B,True
C,1111,0,C,False
B,1112,0,B,True
C,1113,0,C,False
B,1114,0,B,True
C,1115,0,C,False
B,1116,0,B,True
C,1117,0,C,False
A,1118,0,A,False
A,1119,0,A,False
A,1120,0,A,False
B,1121,0,B,True
A,1122,0,A,False
A,1123,0,A,False
B,1124,0,B,True
C,1125,0,C,False
B,1126,0,B,True
A,1127,0,A,False
B,1128,0,B,True
C,1129,0,C,False
B,1130,0,B,True
C,1131,0,C,False
B,1132,0,B,True
C,1133,0,C,False
B,1134,0,B,True
C,1135,0,C,False
B,1136,0,B,True
C,1137,0,C,False
B,1138,0,B,True
C,1139,0,C,False
B,1140,0,B,True
C,1141,0,C,False
B,1142,0,B,True
C,1143,0,C,False
B,1144,0,B,True
C,1145,0,C,False
A,1146,0,A,False
B,1147,0,B,True
C,1148,0,C,False
B,1149,0,B,True
C,1150,0,C,False
B,1151,0,B,True
C,1152,0,C,False
B,1153,0,B,True
C,1154,0,C,False
B,1155,0,B,True
C,1156,0,C,False
A,1157,0,A,False
A,1158,0,A,False
B,1159,0,B,True
C,1160,0,C,False
A,1161,0,A,False
B,1162,0,B,True
C,1163,0,C,False
B,1164,0,B,True
C,1165,0,C,False
A,1166,0,A,False
A,1167,0,A,False
B,1168,0,B,True
A,1169,0,A,False
B,1170,0,B,True
C,1171,0,C,False
B,1172,0,B,True
C,1173,0,C,False
A,1174,0,A,False
A,1175,0,A,False
A,1176,0,A,False
A,1177,0,A,False
A,1178,0,A,False
B,1179,0,B,True
C,1180,0,C,False
B,1181,0,B,True
C,1182,0,C,False
B,1183,0,B,True
C,1184,0,C,False
A,1185,0,A,False
A,1186,0,A,False
B,1187,0,B,True
C,1188,0,C,False
B,1189,0,B,True
C,1190,0,C,False
B,1191,0,B,True
C,1192,0,C,False
B,1193,0,B,True
C,1194,0,C,False
B,1195,0,B,True
C,1196,0,C,False
A,1197,0,A,False
A,1198,0,A,False
A,1199,0,A,False
B,1200,0,B,True
C,1201,0,C,False
B,1202,0,B,True
C,1203,0,C,False
B,1204,0,B,True
A,1205,0,A,False
B,1206,0,B,True
A,1207,0,A,False
A,1208,0,A,False
A,1209,0,A,False
A,1210,0,A,False
B,1211,0,B,True
C,1212,0,C,False
B,1213,0,B,True
C,1214,0,C,False
B,1215,0,B,True
A,1216,0,A,False
B,1217,0,B,True
C,1218,0,C,False
B,1219,0,B,True
C,1220,0,C,False
B,1221,0,B,True
C,1222,0,C,False
B,1223,0,B,True
C,1224,0,C,False
A,1225,0,A,False
A,1226,0,A,False
A,1227,0,A,False
A,1228,0,A,False
A,1229,0,A,False
B,1230,0,B,True
C,1231,0,C,False
B,1232,0,B,True
C,1233,0,C,False
B,1234,0,B,True
C,1235,0,C,False
B,1236,0,B,True
C,1237,0,C,False
B,1238,0,B,True
A,1239,0,A,False
B,1240,0,B,True
C,1241,0,C,False
B,1242,0,B,True
C,1243,0,C,False
B,1244,0,B,True
C,1245,0,C,False
A,1246,0,A,False
A,1247,0,A,False
A,1248,0,A,False
B,1249,0,B,True
C,1250,0,C,False
A,1251,0,A,False
B,1252,0,B,True
C,1253,0,C,False
B,1254,0,B,True
C,1255,0,C,False
B,1256,0,B,True
C,1257,0,C,False
B,1258,0,B,True
C,1259,0,C,False
A,1260,0,A,False
A,1261,0,A,False
B,1262,0,B,True
C,1263,0,C,False
A,1264,0,A,False
A,1265,0,A,False
B,1266,0,B,True
C,1267,0,C,False
B,1268,0,B,True
C,1269,0,C,False
A,1270,0,A,False
B,1271,0,B,True
C,1272,0,C,False
B,1273,0,B,True
C,1274,0,C,False
B,1275,0,B,True
C,1276,0,C,False
B,1277,0,B,True
C,1278,0,C,False
B,1279,0,B,True
A,1280,0,A,False
B,1281,0,B,True
C,1282,0,C,False
A,1283,0,A,False
A,1284,0,A,False
A,1285,0,A,False
B,1286,0,B,True
C,1287,0,C,False
A,1288,0,A,False
A,1289,0,A,False
B,1290,0,B,True
C,1291,0,C,False
B,1292,0,B,True
C,1293,0,C,False
B,1294,0,B,True
C,1295,0,C,False
B,1296,0,B,True
C,1297,0,C,False
B,1298,0,B,True
C,1299,0,C,False
B,1300,0,B,True
C,1301,0,C,False
B,1302,0,B,True
C,1303,0,C,False
B,1304,0,B,True
C,1305,0,C,False
B,1306,0,B,True
C,1307,0,C,False
B,1308,0,B,True
C,1309,0,C,False
B,1310,0,B,True
C,1311,0,C,False
B,1312,0,B,True
C,1313,0,C,False
B,1314,0,B,True
C,1315,0,C,False
A,1316,0,A,False
A,1317,0,A,False
B,1318,0,B,True
C,1319,0,C,False
A,1320,0,A,False
B,1321,0,B,True
C,1322,0,C,False
B,1323,0,B,True
C,1324,0,C,False
A,1325,0,A,False
B,1326,0,B,True
A,1327,0,A,False
A,1328,0,A,False
A,1329,0,A,False
B,1330,0,B,True
C,1331,0,C,False
B,1332,0,B,True
C,1333,0,C,False
B,1334,0,B,True
C,1335,0,C,False
B,1336,0,B,True
C,1337,0,C,False
B,1338,0,B,True
C,1339,0,C,False
B,1340,0,B,True
C,1341,0,C,False
A,1342,0,A,False
B,1343,0,B,True
C,1344,0,C,False
B,1345,0,B,True
C,1346,0,C,False
B,1347,0,B,True
C,1348,0,C,False
B,1349,0,B,True
A,1350,0,A,False
B,1351,0,B,True
C,1352,0,C,False
B,1353,0,B,True
C,1354,0,C,False
B,1355,0,B,True
C,1356,0,C,False
A,1357,0,A,False
A,1358,0,A,False
